receipt_number,transaction_type,client_name,vendor_name,vendor_email,amount,date,is_exception,is_paper
R891152,Card,Robert Rojas,Wallace-Hall,jeffrey23@miller.net,721.13,15-08-2024,False,False
R271121,Card,Timothy Perry,"Williams, Kent and Brooks",bwhitney@russell-patterson.net,428.3,10-09-2024,False,False
R841305,Card,Kelly Hayes,Adams-Ramirez,jesus72@schwartz.com,303.74,07-02-2024,False,False
R287521,Card,Jennifer Gonzalez,Rogers Inc,huertalaura@stone-thomas.net,132.27,13-02-2024,False,False
R554210,Card,Erica Carter,Rogers LLC,roberto31@morris.com,918.1,16-06-2024,False,False
R326581,Card,David Cruz,"Morgan, Nunez and Butler",hintonjill@garcia.com,445.71,12-04-2024,False,False
R109010,Card,Dr. Michael Singh,Bryan-Moore,paulareed@smith-fuentes.com,388.45,11-05-2024,False,False
R839571,Card,Jason Perez,Jones PLC,robinlambert@woods.org,860.51,22-09-2024,False,True
R967044,Card,Patrick Mcbride,Clark Ltd,jeffrey94@anderson.com,619.53,14-07-2024,True,True
R290381,Card,Eric Jackson,Williams LLC,pstewart@hayes-meyers.info,250.3,08-02-2024,False,False
R890066,Card,Manuel Ramirez,Brewer Ltd,lopezeric@camacho.com,208.56,20-07-2024,False,False
R391903,Card,Katherine Hunt,Cochran PLC,angelachase@reid-harris.net,599.67,02-07-2024,False,False
R752698,Card,Mrs. Robin Obrien,Stevenson Group,frichard@smith-cox.com,611.7,27-06-2024,False,False
R626445,Card,Brian Key,Bauer-Hill,wrobinson@walton-smith.com,303.45,21-03-2024,False,False
R378516,Card,Amy Garcia,Carroll Group,chavezsuzanne@hampton.com,267.54,13-02-2024,False,False
R917489,Card,Todd Briggs,"Short, Pearson and Jones",gnguyen@dixon.com,67.73,20-01-2024,False,True
R324345,Card,Destiny Green,Baker-Perry,charlesgrant@williams.com,453.08,31-07-2024,False,False
R333502,Card,Andre Burke,"Parker, Lawson and Ryan",robert68@gregory-reyes.com,821.07,06-06-2024,False,False
R446431,Card,Nancy Jackson,"Raymond, Thompson and Edwards",dlewis@wright.com,287.44,29-02-2024,False,False
R820731,Card,Lisa Johnson,Mccullough-Romero,jwatson@davis-dominguez.biz,352.46,18-03-2024,False,False
R849292,Card,Mary Rivas,"Goodman, Rogers and Johnson",smoore@santiago-ortiz.com,979.19,30-07-2024,True,False
R365548,Card,William Ruiz,"Mcdaniel, Yates and French",mikewheeler@blackwell.com,396.2,25-09-2024,False,False
R565288,Card,Christopher Garcia,"Mcclure, Raymond and Stewart",hayden04@hall.org,850.2,14-05-2024,False,False
R984371,Card,Timothy Rogers,Mueller PLC,barbara57@hudson-parks.info,55.77,09-02-2024,False,True
R565865,Card,Matthew Smith,"Bridges, Lopez and Hood",jessicalawson@gray-santiago.net,288.45,27-04-2024,False,False
R339504,Card,Jennifer Garner,"Long, Garcia and Herman",pperkins@sullivan.com,571.64,05-09-2024,False,False
R864209,Card,Ashley Jackson,Fleming Group,charris@castaneda-ferguson.com,716.29,31-07-2024,False,False
R383269,Card,Mark Garcia,Jimenez-Miller,shane23@le.com,945.67,25-06-2024,False,False
R82578,Card,Nicole Bridges,"Young, Rhodes and Hernandez",zfarmer@walker-rivera.com,341.78,31-03-2024,True,False
R5225,Card,James Gonzales,"Aguilar, Rice and Freeman",david21@simmons.com,414.36,20-07-2024,False,False
R4261,Card,Timothy Barnes,Bailey-Ross,patricia91@tucker.com,972.19,19-03-2024,False,True
R825909,Card,Carlos Turner,"Brown, Alexander and Barry",fsims@flores.com,556.57,17-02-2024,False,False
R960282,Card,Tiffany French,"Roman, Rivera and Sims",myerskimberly@stewart-cooper.org,917.44,16-02-2024,True,False
R779044,Card,Amanda Powers,Brewer-Rasmussen,angela15@beasley-chandler.info,460.34,14-03-2024,False,False
R782446,Card,David Brown,"Small, Kelly and Coleman",qfischer@mclean-jones.com,22.83,19-07-2024,False,False
R606339,Card,William Chambers PhD,Davidson-Stewart,blackalex@allen.com,561.18,25-02-2024,False,False
R215065,Card,Ronnie Black,Anthony PLC,davidjones@kirby.com,451.24,12-07-2024,False,False
R108479,Card,Christopher Davis,Shelton and Sons,megan18@lopez.info,326.99,13-05-2024,False,False
R30510,Card,Victoria Richards,Davies-Jensen,wilsonalex@leonard.com,723.38,27-03-2024,False,False
R989265,Card,Robert Mcdonald,"Herrera, Robinson and Flores",hcollins@martin.info,356.82,18-02-2024,False,True
R419963,Card,Zoe Mays,Bradshaw-Davis,courtneyramirez@burton-osborn.biz,980.93,23-05-2024,True,False
R273346,Card,Sarah Wilson,"Bauer, Duffy and Brooks",mackbobby@mcclure.com,85.76,30-04-2024,False,False
R834187,Card,Michael Coleman,"Wright, Fernandez and James",ajohnson@lewis.com,752.48,02-02-2024,False,False
R396193,Card,Chelsea Hopkins,Keith-Smith,adamrojas@wood.com,973.91,05-03-2024,False,False
R675458,Card,Katherine Miller,Delgado LLC,gordondonna@howard-fuentes.biz,892.12,15-01-2024,False,False
R603236,Card,Nicole Gonzalez,Kelley PLC,qsavage@houston.org,417.09,03-05-2024,False,False
R23756,Card,Kaitlyn Harris,Perkins Inc,manndonald@zimmerman.com,525.59,21-06-2024,False,False
R340775,Card,Carol Stevens,Davis-Davis,qgoodwin@serrano-anderson.com,338.07,02-02-2024,False,False
R39251,Card,Virginia Berry,"Carpenter, Dalton and Cohen",christine22@gardner.org,99.79,25-08-2024,False,True
R761178,Card,Jordan Smith,Gilbert-Thompson,ysalas@kemp.com,198.99,01-03-2024,False,True
R504729,Card,Joshua Reed,Brandt-Roberts,kimberly36@russell.com,629.61,24-08-2024,False,False
R304841,Card,Matthew Lambert,Alvarado-Bolton,garciakaren@boyd.com,637.68,04-03-2024,False,False
R554306,Card,Brittany Montes,Nguyen-Burns,aburton@sutton.com,68.4,12-04-2024,False,True
R982700,Card,Andrea Roth,Miller Group,rogersmisty@west-mullins.info,516.22,02-01-2024,True,True
R499321,Card,Cameron Bass,Armstrong and Sons,emilyadams@hale-weeks.com,272.47,09-09-2024,False,False
R486914,Card,Eric Nelson,Bond and Sons,terrinorman@porter.com,97.4,04-04-2024,False,False
R805645,Card,Christopher Clayton,Blake and Sons,qhunter@perry.com,641.23,17-06-2024,False,False
R344050,Card,James Bernard,"Williams, Evans and Kramer",david17@cole.com,573.63,10-07-2024,False,False
R714240,Card,Kristin Church,Hartman Inc,gonzalezeric@chambers.com,495.33,27-02-2024,False,False
R721334,Card,Cody Clark,"Bowers, Roberts and Briggs",williamsjoseph@maddox-howell.info,292.97,02-07-2024,False,False
R506892,Card,Nicole Lane,Fuller PLC,vhernandez@cook.biz,852.0,01-02-2024,False,False
R542263,Card,Christine Lee,Barnett-Jones,diana43@pena.net,604.45,09-08-2024,False,False
R101403,Card,Richard Jarvis,Thomas PLC,randerson@cruz.net,401.78,15-03-2024,False,False
R555145,Card,Taylor Yates,"Johnson, Franco and Conley",bushamy@baker.com,420.38,29-09-2024,True,False
R121944,Card,Jeffrey Carlson,"Reynolds, Harrison and Morales",michele01@murray-beasley.com,712.24,10-06-2024,False,False
R528656,Card,Mathew Johnson,Contreras-Erickson,darrenjohnson@coleman.info,312.71,19-07-2024,False,True
R56200,Card,Shane Schmidt,Carter-Campos,nboone@stevens-shaw.com,955.99,27-06-2024,False,False
R313775,Card,Jordan Lambert,Mcintosh LLC,andrew21@russo.com,161.05,17-07-2024,False,False
R475237,Card,Monica Baker DDS,Tanner and Sons,davidwatkins@gomez-wood.com,277.97,12-02-2024,False,False
R978094,Card,Manuel Lynn,Barrett and Sons,ucruz@thompson.com,478.82,11-05-2024,False,False
R964698,Card,Lisa Mendoza,Spencer and Sons,frank08@thomas-hudson.biz,222.34,20-08-2024,False,True
R754079,Card,Yvonne May,Johnston Group,kennethwalker@allen.com,433.87,13-05-2024,True,False
R953711,Card,Edward Parker,"Gutierrez, Patel and Gates",albertcrane@hale-hayes.com,810.77,13-01-2024,False,False
R436515,Card,John Silva,"Gray, Robinson and Gentry",smithevan@simmons.com,909.41,22-03-2024,False,False
R125488,Card,Lisa Davis,Smith PLC,jessica78@silva.com,863.26,25-01-2024,False,True
R622383,Card,Alexander Jones,Hayes PLC,sarahrobinson@irwin.net,222.87,30-08-2024,True,False
R37809,Card,Franklin Barnett,"Holmes, Martinez and Malone",cindy57@rodriguez.com,957.6,09-08-2024,False,False
R432281,Card,Daniel Peterson,"Alexander, Chang and Olson",spencergabriel@jenkins-fields.com,731.06,13-06-2024,False,False
R478851,Card,Kelly Reese,Phillips-Black,richard23@vasquez.com,272.59,07-05-2024,False,False
R298811,Card,Brent Dougherty,Young Inc,qcarter@miller-gay.biz,165.94,10-06-2024,False,False
R453618,Card,Michael Jennings,Taylor and Sons,robin21@chapman.org,875.68,15-08-2024,False,True
R596844,Card,Kimberly Richardson,"Robertson, Cruz and Grimes",ibarron@white.net,223.09,30-08-2024,False,False
R726353,Card,Jacob Robinson,"Kim, Fitzpatrick and Wallace",smueller@irwin.com,48.37,14-03-2024,False,True
R459250,Card,Nathan Bell,Gordon PLC,aaron05@estrada-evans.com,827.81,19-05-2024,True,True
R600295,Card,Lisa Dixon,Knox Ltd,xgriffin@oliver.com,395.35,26-08-2024,False,False
R50635,Card,Austin Arnold,Wilson-Price,jenny65@clark.com,556.71,11-01-2024,False,False
R988585,Card,Kristin Camacho,Barton Group,oholt@smith.net,236.93,23-09-2024,False,False
R19413,Card,Gary Sandoval,Bryant-Wood,gspencer@freeman.net,569.39,10-05-2024,False,False
R174672,Card,Megan Thornton,Jenkins Ltd,chapmannatalie@johnston.com,270.0,21-01-2024,False,False
R442072,Card,Jason Murphy,Sanders-Harrington,patrickwalker@macdonald.com,975.81,10-01-2024,False,False
R762342,Card,Benjamin Carroll,Hall-Ray,toddsmith@rojas.com,845.48,05-05-2024,False,True
R336042,Card,Melissa Spencer,"Archer, Schroeder and Taylor",melissa54@murillo.biz,239.49,16-03-2024,False,True
R412988,Card,Jackie Walker,"Anderson, James and Suarez",rebeccabarnes@robinson.com,882.59,04-03-2024,False,False
R426433,Card,Valerie Bailey,Moore and Sons,kevin93@bartlett.com,344.67,15-09-2024,False,True
R622460,Card,Ronald Stevens,Watkins-Bonilla,morrisonjessica@fisher.com,92.86,28-01-2024,False,False
R107504,Card,Kiara Graham,"Gross, Stephenson and Lewis",scooper@miller.net,193.19,19-08-2024,False,False
R576613,Card,Sandra Lawson,Ruiz PLC,cassandra56@martinez.biz,113.46,20-03-2024,False,False
R329514,Card,Eric Short,Hudson-Shields,williamslinda@richardson.biz,63.83,08-08-2024,False,False
R338219,Card,Wendy Davis,"Thomas, Johnson and Martin",tsmith@wright-riddle.com,170.44,27-03-2024,True,False
R237937,Card,Deborah Lane,Brown-Ashley,jennifer94@hernandez-singleton.com,526.0,03-04-2024,False,False
R858083,Card,Emily Grimes,Kemp-Conway,marywhite@case.com,767.89,22-07-2024,False,False
R810210,Card,Pamela Mahoney,Cruz and Sons,jacob46@bowen.biz,501.65,28-02-2024,False,False
R174474,Card,Lauren Wilson,"Dodson, Turner and Garcia",dodsonrebekah@salazar.net,660.72,11-04-2024,False,False
R407378,Card,Joseph Powell,Perez-Rogers,daniellewis@smith.net,637.03,15-06-2024,False,False
R316343,Card,Jennifer Walker,"Case, Wilson and Page",wbruce@atkins.org,155.04,19-07-2024,False,False
R652408,Card,William Avery,"Summers, Chavez and Esparza",ethan65@hanson-griffin.biz,718.86,03-08-2024,True,False
R18491,Card,Richard Phillips,Bennett-Thomas,aadams@francis-neal.net,10.82,21-06-2024,False,False
R93425,Card,Andrew Farmer,Lopez Ltd,kerribell@colon.org,966.35,05-06-2024,False,False
R747916,Card,Megan Wang,Simpson Inc,anthony62@mayer.com,868.41,23-01-2024,False,False
R318743,Card,Craig Hicks,Henderson-Phillips,paul91@wagner-robinson.org,514.7,26-03-2024,False,False
R317937,Card,Luke Howard,"Mullins, Montgomery and Valencia",kyleboyd@fuentes.org,316.55,07-02-2024,False,True
R443970,Card,Sarah Bruce,"Sanchez, Ray and Gates",andrew37@zimmerman.com,70.39,04-06-2024,True,False
R89408,Card,Joshua Garcia,"Johnson, Park and Miller",martinkimberly@brown-chan.com,241.35,03-02-2024,False,True
R610284,Card,Michelle Harrison,"Evans, King and Mathis",lpitts@friedman-williams.com,350.63,17-03-2024,False,False
R11273,Card,Michelle Gutierrez,Howard-Brown,clarkjose@hughes.info,242.62,09-04-2024,False,False
R517069,Card,Matthew Moore,Leonard PLC,pvillarreal@kirby.org,588.12,10-09-2024,False,False
R395187,Card,Mary Reed,Johnson LLC,mason18@gomez.com,499.64,02-06-2024,False,True
R602947,Card,Caleb Maldonado,Bell and Sons,stephaniebanks@allen-adkins.biz,834.04,25-07-2024,False,False
R497177,Card,Sheri Gaines,Lin-Miller,maria96@white.net,480.5,23-09-2024,False,False
R79382,Card,Christine Shea,Cooley PLC,ygamble@romero.com,977.15,28-03-2024,False,False
R180385,Card,Jason Jones,"Carter, Anderson and Weber",kelly37@spencer.com,61.27,15-03-2024,False,False
R633525,Card,Denise Hendricks,Brown-Irwin,mckenzielisa@mccoy.org,119.67,23-02-2024,False,False
R22177,Card,Dawn Mcknight,"Duncan, Keller and Costa",eric08@zamora-alvarado.com,107.09,17-08-2024,False,False
R231683,Card,Aaron Cox,"Smith, Clark and Jones",rebeccahernandez@collins-tapia.com,502.39,21-03-2024,False,True
R476297,Card,Melissa Stanley,Clark-Thompson,kim34@collins-white.biz,96.64,31-03-2024,False,False
R731973,Card,Casey Livingston,"Colon, Nelson and Jones",christopher59@williams.net,537.59,03-06-2024,False,False
R869396,Card,Daniel Vaughn,"Blair, Horton and Rangel",qhowell@riley-conrad.biz,157.29,27-02-2024,False,False
R968743,Card,Ashley Acevedo,Norton-Hogan,ukelley@kelly.com,620.86,02-10-2024,False,False
R513280,Card,Rebecca Jones,"Carter, Guzman and Roberts",michael99@giles.org,684.8,13-02-2024,False,False
R46026,Card,Patricia Barnes,"Munoz, Ford and Moore",kristinabruce@wilkinson.com,338.89,01-09-2024,False,False
R63054,Card,David Brown,Hatfield Inc,lewisjennifer@davis.com,406.12,15-08-2024,False,True
R91034,Card,Hunter Gibson,"Weber, Olson and Strickland",jackkoch@chen.net,290.22,09-09-2024,False,False
R187507,Card,Daniel Velasquez,"Casey, Pearson and Hunt",natalie01@jones.com,104.86,07-02-2024,False,False
R635187,Card,Alex Gaines,Stone PLC,sgilmore@garcia.net,610.88,23-06-2024,False,False
R232744,Card,Valerie Miller,Sanders-Duncan,antonio55@ramirez-willis.com,592.2,19-05-2024,False,True
R706434,Card,Jade Lane,Bridges-Diaz,myersshannon@edwards.org,770.88,12-08-2024,False,False
R452740,Card,Shawn Salazar,Smith-Brown,samuelmurphy@williams-jenkins.com,25.19,09-09-2024,False,False
R854243,Card,Jeffrey Robinson,"Dominguez, Richards and Gomez",kaylastuart@abbott.com,530.87,24-09-2024,False,False
R129900,Card,Shannon Rodriguez,"Knight, Johnson and Thompson",johnturner@cowan-smith.com,687.12,14-09-2024,False,False
R707675,Card,Dr. Laura Cole MD,Winters-Ramos,chudson@smith.com,304.11,28-06-2024,True,False
R104293,Card,Scott Townsend,"Tran, Clark and Alexander",whitelouis@velez-king.com,725.86,14-03-2024,False,False
R929648,Card,Candace Ross,Miller-Acosta,danielle10@fisher-martinez.com,129.72,04-05-2024,False,False
R315989,Card,Kimberly Moody,"Stanley, Miller and Dunn",whancock@price.com,550.56,01-10-2024,False,True
R461181,Card,Scott Ray,"Park, Bryan and Burke",duncanchristopher@griffin.net,132.96,05-09-2024,False,False
R339837,Card,Travis Larson,Khan-Johnston,jonathanwatson@nunez.com,123.77,13-05-2024,False,False
R723870,Card,Brian Becker,"Hansen, Li and Martin",charles05@lewis.info,227.54,05-09-2024,False,False
R955200,Card,Jordan Burton,"Rowe, Mason and Brown",carlsonjulie@hayden-richardson.biz,510.86,16-06-2024,False,True
R846908,Card,Noah Marks,Russo Group,alisonallen@gibbs-johnson.net,834.39,10-08-2024,False,False
R140258,Card,Matthew Barnes,Conrad-Martinez,abigail71@stanley.com,518.46,28-04-2024,False,False
R19673,Card,Susan Gallagher,Wilson and Sons,danielcobb@miller.info,713.86,25-02-2024,False,False
R297992,Card,Mia Christensen,"Welch, Lowe and Gallagher",ppowell@perry.org,564.55,19-09-2024,False,False
R436552,Card,Walter Kelly,Gonzalez Ltd,owilliams@leblanc.info,966.07,01-10-2024,False,False
R314440,Card,Patrick Galvan,Strong-Lucero,hoganfred@mills.com,425.17,13-05-2024,False,False
R2807,Card,Debra Cunningham,"Gonzalez, Singleton and Diaz",rodriguezkrystal@coffey.com,598.94,11-02-2024,False,True
R323094,Card,Jacob Bradshaw,"Rodriguez, Blair and Reed",afisher@marsh.com,706.68,27-02-2024,False,False
R495215,Card,Diamond Lee,Hernandez Ltd,xhughes@kim.com,476.66,29-04-2024,False,False
R240785,Card,Mrs. Amanda Cook,English-White,mitchellcarly@johnson-myers.com,256.49,29-09-2024,False,False
R315181,Card,Jordan Walker,Perkins-Price,marywalter@neal.com,915.35,01-03-2024,False,False
R6372,Card,Denise Perez,"Brown, Murphy and Duncan",michaelhaas@cook-edwards.com,962.64,20-06-2024,False,False
R645904,Card,Jasmin Stewart,Parker-Donovan,jcherry@mathis.net,923.84,08-06-2024,False,False
R260778,Card,Charles Simpson,White Group,arnoldmelanie@smith-ruiz.com,635.75,25-03-2024,False,False
R308885,Card,Louis Jackson,"Khan, Hayes and Edwards",johnsontina@gross.biz,456.89,05-01-2024,False,False
R85330,Card,Joshua Adams,"Thornton, Hebert and Jones",james27@washington.com,875.5,02-03-2024,False,False
R806190,Card,Cassandra Jackson,"Ramirez, Mcdaniel and Sloan",brianna46@roberts.info,183.5,30-05-2024,False,False
R856296,Card,Robert Huff,Skinner-Tucker,nicolegoodman@curtis-jenkins.com,547.09,15-05-2024,False,True
R400614,Card,Elizabeth Mclean,Pearson-Flynn,nicholaswilliams@turner.info,872.85,23-07-2024,False,False
R100276,Card,Jennifer Gibson,Reynolds-Reynolds,khardin@anderson-lopez.biz,993.65,29-09-2024,False,True
R298272,Card,Lisa Long,Cantrell Ltd,alexandra48@roberts.com,236.92,04-06-2024,True,False
R518469,Card,Michael Lee,"Martin, Shelton and Lopez",brian29@roberts.com,181.71,08-01-2024,False,False
R614218,Card,Shane Weaver,"Howard, Lamb and Winters",davisjason@williams-oliver.org,77.65,22-01-2024,False,False
R514229,Card,Jennifer Hoover,Thornton Group,justin15@turner-trujillo.com,920.65,14-07-2024,False,False
R6680,Card,Patrick Brock,"Clark, Watkins and Duncan",jesseburnett@thornton-friedman.net,196.37,14-05-2024,False,True
R316831,Card,Travis Webb,"Fowler, George and Edwards",donna40@grant.org,435.85,08-05-2024,True,False
R668735,Card,Rebekah Collins,Williams-Nelson,howarddavid@conley-stewart.com,46.04,18-09-2024,False,True
R21301,Card,Lisa Harris,Ramirez Group,gomezpatricia@rivera-mueller.info,554.46,22-03-2024,False,True
R572570,Card,Paul Nelson,Ramos-Roman,rodriguezlisa@wells.com,804.3,23-05-2024,False,False
R450580,Card,Terry Moon,Clark and Sons,jacobtorres@bruce-williams.net,364.19,11-03-2024,False,False
R267340,Card,Kathryn Myers,"Pierce, Sullivan and King",eatonheather@velazquez.net,20.28,29-08-2024,False,False
R130631,Card,Amanda Atkinson DDS,Olson-Atkinson,charlesnelson@carter-hall.biz,598.93,26-06-2024,False,False
R257614,Card,Matthew Brady,Conley and Sons,kelly52@rogers.biz,221.16,03-04-2024,False,True
R660522,Card,Edward Harding,"Perry, Velez and Jones",kgreen@brady-mullins.biz,960.13,04-01-2024,False,True
R776150,Card,Evan Sawyer,Webster PLC,afoster@ramos.com,992.3,23-05-2024,False,False
R346782,Card,Jacqueline Armstrong,Herring-Beltran,anna73@love.com,690.23,30-03-2024,False,False
R363072,Card,Nicole Jones,Diaz-Montes,thomaswilson@howard.biz,41.66,24-03-2024,False,False
R475464,Card,Jennifer Wilson,"Wilson, Elliott and Sanchez",barnesdennis@benton-arias.biz,568.31,25-06-2024,False,False
R793232,Card,Anne Dudley,Ford-Cuevas,dadams@williams.org,585.35,11-08-2024,False,False
R675711,Card,Dennis Diaz,Howe-Williams,jesus02@hoffman.com,788.33,29-01-2024,False,True
R232198,Card,Brian Rush,Fitzgerald-Gibbs,laura26@garner-ramirez.com,492.61,01-10-2024,False,False
R396669,Card,Stacy Mcgrath,"Harris, Mccoy and Alvarez",rodneyquinn@walker.com,247.38,17-08-2024,False,True
R152510,Card,Gregory Turner,Smith-Weber,bbenton@jensen.info,118.83,03-10-2024,False,False
R646771,Card,Ann Kennedy,Nelson Inc,loriwalter@wood.net,826.88,24-09-2024,False,False
R165263,Card,Kimberly Brown,Floyd PLC,laurenosborne@clark.com,85.92,28-04-2024,False,True
R923766,Card,Rebecca Wallace,Sweeney-Elliott,rivasgregory@thomas-barnes.com,342.22,09-02-2024,False,True
R955272,Card,Andrew Frey MD,Nunez-Fisher,jfletcher@skinner.com,308.31,01-01-2024,False,False
R747417,Card,Tina Brown,"Moore, Garrett and Bartlett",brownjames@johnson.com,104.78,12-07-2024,False,True
R354330,Card,Billy Webster,Zimmerman-Johnson,cherylturner@fernandez.org,642.46,01-04-2024,True,False
R247325,Card,Rachel Vasquez,"Stewart, Martin and Johnson",eddie08@brown.info,409.95,04-09-2024,False,True
R938907,Card,Edward Harding,"Ballard, Curtis and Yates",jasonwise@nelson.com,671.51,28-05-2024,False,False
R84278,Card,Sarah Bradley,Gutierrez-Stewart,diane35@andrews-martin.net,706.23,03-10-2024,True,False
R203747,Card,Alicia Green,Mercer Ltd,dawn69@erickson.biz,704.47,01-09-2024,True,False
R150768,Card,Annette Ellis,"Johnson, Coleman and Gordon",johnwinters@ellison-scott.com,751.67,30-03-2024,False,False
R594927,Card,Caleb Anderson,King-Hart,elizabeth78@williams.net,332.83,18-09-2024,False,False
R459131,Card,Carolyn Hicks,Morgan-Brown,brianellis@forbes-dunn.info,51.21,02-06-2024,False,True
R521878,Card,Teresa Jones,Hopkins-Daugherty,arthurrusso@howell.org,436.6,25-09-2024,False,False
R239140,Card,Jacob Gibson,"Huber, Harmon and Coffey",barberadam@espinoza.info,430.56,24-06-2024,False,False
R349330,Card,Sarah Thomas,Harris LLC,christopher36@martinez.com,859.58,26-04-2024,False,False
R936964,Card,Christopher Clark,Brock-Wise,jbrooks@reyes-young.com,196.07,29-03-2024,False,True
R797221,Card,Carrie Wright,Harper and Sons,jeffreyjohnston@chandler.info,864.17,14-08-2024,False,False
R972315,Card,Dylan Callahan,"Navarro, Ball and Galvan",peterrodriguez@stephens.com,519.83,22-03-2024,False,False
R303434,Card,Melinda Young,Johnson-Bell,nicholasbrown@goodman.org,318.16,18-06-2024,False,True
R837710,Card,Travis Walter,Zavala-Peterson,carriesmith@lawrence-ray.biz,880.05,05-08-2024,True,False
R998311,Card,Gregory Hill,Chapman LLC,ibrady@lara.com,919.55,14-04-2024,False,True
R83530,Card,Andrea Chase,Hughes Inc,brittany24@thomas.net,997.6,19-07-2024,False,True
R84387,Card,James Williams,Mcpherson-Cook,susan59@fernandez-marshall.biz,724.7,08-05-2024,False,False
R745577,Card,Isaac Whitaker,Ross-Vargas,djones@thomas.biz,478.09,19-01-2024,False,False
R504657,Card,Dawn Fuentes,"Ramos, Harris and Hanna",jnielsen@baker.com,540.22,26-06-2024,False,False
R985870,Card,Michael Adams,"Hill, Bryan and Benitez",angela90@turner-nichols.org,255.15,16-05-2024,False,False
R761331,Card,Wesley Ruiz,Steele Inc,barrettmichael@velasquez.com,323.38,29-02-2024,False,False
R925159,Card,Justin West,Spencer Group,melanie63@chapman.net,377.38,30-07-2024,False,False
R734184,Card,Brittany Harper,"Barker, Ferguson and Williams",nsmith@davis.com,793.82,21-07-2024,False,False
R102003,Card,Mark Diaz,Nelson-Rodriguez,hgibson@cox-smith.org,482.27,22-06-2024,False,True
R880931,Card,Joshua Davis,Fields LLC,laura22@snyder.com,863.43,21-07-2024,False,False
R507986,Card,Bryan Dalton,Gilmore-Barnes,tarasmith@perez-lopez.info,702.61,10-06-2024,False,False
