receipt_number,transaction_type,client_name,vendor_name,vendor_email,amount,date,is_exception,is_paper,template_name
R326581,Card,David Cruz,"Morgan, Nunez and Butler",hintonjill@garcia.com,445.71,12-04-2024,False,False,email_template_R326581.txt
R591595,Cheque,James Williams,Salas and Sons,davidbray@hunt-brooks.info,228.52,08-02-2024,False,True,email_template_R591595.txt
R503001,Cheque,Amber Ramirez,Hurst-Day,laurie44@alvarez.com,296.12,23-02-2024,False,True,email_template_R503001.txt
R109010,Card,Dr. Michael Singh,Bryan-Moore,paulareed@smith-fuentes.com,388.45,11-05-2024,False,False,email_template_R109010.txt
R839571,Card,Jason Perez,Jones PLC,robinlambert@woods.org,860.51,22-09-2024,False,True,email_template_R839571.txt
R206032,Cheque,Daniel Walters,Woods Group,ndixon@williams-shelton.biz,549.47,25-07-2024,False,False,email_template_R206032.txt
R967044,Card,Patrick Mcbride,Clark Ltd,jeffrey94@anderson.com,619.53,14-07-2024,True,True,email_template_R967044.txt
R728105,Cheque,Sara Rocha,Hart Ltd,alexandra31@buchanan-rose.org,378.87,23-01-2024,False,False,email_template_R728105.txt
R281614,Cheque,Mr. Daniel Garcia,Jones-Clarke,johnsonjohn@scott.biz,956.11,23-06-2024,False,True,email_template_R281614.txt
R408867,Cheque,Adrian Lang,Esparza-Torres,malik69@glass.com,932.79,12-04-2024,False,False,email_template_R408867.txt
R290381,Card,Eric Jackson,Williams LLC,pstewart@hayes-meyers.info,250.3,08-02-2024,False,False,email_template_R290381.txt
R890066,Card,Manuel Ramirez,Brewer Ltd,lopezeric@camacho.com,208.56,20-07-2024,False,False,email_template_R890066.txt
R391903,Card,Katherine Hunt,Cochran PLC,angelachase@reid-harris.net,599.67,02-07-2024,False,False,email_template_R391903.txt
R752698,Card,Mrs. Robin Obrien,Stevenson Group,frichard@smith-cox.com,611.7,27-06-2024,False,False,email_template_R752698.txt
R129962,Cheque,Sarah Black,"Williams, Heath and Ross",justin20@wise.com,72.57,16-08-2024,False,False,email_template_R129962.txt
R755669,Cheque,Tracy Pittman,Tran Group,marylucas@may-lewis.com,559.29,14-06-2024,False,False,email_template_R755669.txt
R626445,Card,Brian Key,Bauer-Hill,wrobinson@walton-smith.com,303.45,21-03-2024,False,False,email_template_R626445.txt
R378516,Card,Amy Garcia,Carroll Group,chavezsuzanne@hampton.com,267.54,13-02-2024,False,False,email_template_R378516.txt
R505615,Cheque,Kevin Lane,"Richardson, Wilson and Stevens",josephrodgers@griffith.com,914.1,03-05-2024,False,False,email_template_R505615.txt
