receipt_number,transaction_type,client_name,vendor_name,vendor_email,amount,date,is_exception,is_paper
R770193,Card,Jonathan Baker,Meyer PLC,bsmith@francis-edwards.com,322.51,2024-06-22,True,False
R74104,Cheque,Samantha Fuller DDS,Smith-Davis,jsmith@frye.com,558.2,2024-06-01,False,False
R665844,Card,James Woods,Case LLC,bonniewilliams@chen-brown.com,984.25,2024-05-24,False,False
R179203,Cheque,Courtney Sutton,Johnson Group,thomaschristina@garcia.com,614.82,2024-05-21,False,False
R276114,Cheque,Shannon Ford,Frye-Blanchard,smithsteven@garcia.com,284.48,2024-03-12,False,False
R246814,Cheque,Amanda Williams,Mcknight-Carr,heather56@cannon.org,148.18,2024-02-08,False,False
R405947,Cheque,Gina Carroll,"Ferguson, Patterson and Bryan",danielmurphy@rivera-ortiz.info,73.9,2024-02-03,False,False
R684613,Cheque,Frank Griffin,Lee Group,lori68@bryant.com,68.8,2024-03-21,True,False
R657655,Cheque,Daniel Stevens,"Leonard, Reed and Medina",baileyelizabeth@fowler-porter.org,947.84,2024-03-07,False,False
R426783,Card,Judy Martin,"Clark, Williamson and Brown",chris47@baker.com,700.42,2024-04-09,False,True
R513037,Cheque,Janet Meyer,White Ltd,cartermichael@hudson.com,266.76,2024-01-26,False,False
R799958,Card,Mariah Newman,Hall and Sons,christopheribarra@hernandez.biz,819.48,2024-08-07,False,False
R354617,Cheque,Darlene Keller,"Moran, Vasquez and Dorsey",lpeters@jackson.com,214.9,2024-02-09,False,True
R965110,Card,Nicole Austin,"Colon, Frazier and Snyder",wreed@griffin.com,502.17,2024-08-21,False,False
R77518,Card,Brian Sullivan,"Marquez, Ayala and Benton",harrisleroy@williams.com,232.17,2024-03-07,False,False
R70726,Cheque,Christopher Banks,Spencer-Phillips,bryanttaylor@herman.com,531.61,2024-01-16,False,False
R423667,Cheque,Terry Jimenez,"Fernandez, Doyle and Sanders",edwardsivan@perkins.com,628.11,2024-02-13,False,False
R616888,Card,Susan Caldwell,"Kaiser, Barnett and Page",jschultz@mullins.org,740.77,2024-05-11,True,False
R212121,Card,Michelle Kirby,Sheppard LLC,montgomerymichael@clay-humphrey.com,747.5,2024-09-17,False,True
R841877,Cheque,Steven Banks,"Torres, Davis and Garcia",candace04@fuentes-arias.info,294.89,2024-06-08,False,False
R11698,Card,Eric Walls,Gilbert LLC,jbarnett@friedman.net,565.74,2024-05-15,False,False
R942570,Cheque,Patrick Brewer,Ramos Group,pateltimothy@hayes.com,550.19,2024-01-15,True,True
R943276,Cheque,Tyler Morgan,Garrett-Marshall,andrew35@owen-morse.info,363.15,2024-05-11,False,False
R869659,Cheque,Anthony Schneider,Butler-Hernandez,michelle00@brady-mcdonald.biz,332.07,2024-02-19,True,False
R330101,Card,Steven Morrison,Abbott-Martin,christopher73@marks-hunter.com,390.81,2024-08-06,False,False
R911502,Card,Jose Farrell,Miller PLC,lorismith@jones.com,496.5,2024-02-01,False,False
R960942,Cheque,Thomas Cruz,Brown Group,sara48@turner.com,563.19,2024-04-30,False,True
R991697,Card,David Johnson,Evans Group,lthomas@lee.com,974.92,2024-09-08,False,False
R745051,Cheque,Ronald Baker MD,"Ewing, Wilson and Garcia",sonia52@miller-bishop.org,143.23,2024-01-01,False,False
R128756,Card,Carolyn Moore,White and Sons,michelletran@webb.info,872.93,2024-06-25,False,False
R764701,Card,Sue Shaffer,Benson-James,johnflores@bailey.com,521.44,2024-06-21,False,False
R167441,Cheque,Aaron Hernandez,"Hutchinson, Santos and Benjamin",brittanychen@williams.com,242.84,2024-03-22,False,True
R233645,Cheque,Michael Harrington,Soto-Ross,tinafriedman@lozano.biz,464.99,2024-08-12,False,False
R84782,Cheque,Jacqueline Townsend,Anderson-Thompson,katrinalopez@johnson.com,275.04,2024-04-15,True,False
R597310,Card,Barry Maxwell,Washington Inc,benjaminmoore@morgan-oneill.com,123.18,2024-01-29,False,True
R137153,Cheque,Diane Smith DDS,Maynard Group,tbranch@young.biz,137.33,2024-03-10,False,True
R373897,Cheque,Micheal Porter MD,Coleman Ltd,michaelmccormick@riddle-bennett.com,348.41,2024-06-21,False,False
R512256,Card,Michael Sanchez,"Howell, Hughes and Warren",robertberry@smith.com,724.43,2024-07-04,False,True
R343500,Cheque,Patrick Lowe,Chavez-Evans,davislaura@contreras.com,57.88,2024-02-14,False,False
R919749,Cheque,Matthew Saunders,Rios-Ward,blynch@dyer-webb.com,42.6,2024-09-08,False,False
R933935,Card,Jennifer Jacobson,Ortega-Campbell,paul95@taylor-johnson.com,219.62,2024-03-13,False,True
R541972,Cheque,Kelly Olsen,Higgins-Mayo,joshua06@ford-lopez.com,516.79,2024-07-08,False,False
R730641,Card,Sharon Hobbs,Sanchez-Daniel,angela11@porter-knox.com,114.47,2024-03-03,False,False
R241538,Cheque,Jonathan Jackson,Mills Ltd,wigginsjeffrey@welch.com,347.08,2024-05-23,False,True
R622644,Card,Jamie Duke,Barry Inc,sknight@campbell-robinson.com,756.01,2024-02-16,False,False
R891152,Card,Robert Rojas,Wallace-Hall,jeffrey23@miller.net,721.13,2024-08-15,False,False
R271121,Card,Timothy Perry,"Williams, Kent and Brooks",bwhitney@russell-patterson.net,428.3,2024-09-10,False,False
R94209,Cheque,John Hernandez,Cooper-Goodman,brendafrazier@west.com,114.61,2024-05-01,True,False
R45270,Cheque,Gavin Robertson,Duke-Brooks,wyork@clark.org,596.3,2024-04-25,False,False
R841305,Card,Kelly Hayes,Adams-Ramirez,jesus72@schwartz.com,303.74,2024-02-07,False,False
R76442,Cheque,Sheri Reed,"Collins, Howell and Wells",raymondcarpenter@kelly.com,15.1,2024-06-11,False,False
R287521,Card,Jennifer Gonzalez,Rogers Inc,huertalaura@stone-thomas.net,132.27,2024-02-13,False,False
R554210,Card,Erica Carter,Rogers LLC,roberto31@morris.com,918.1,2024-06-16,False,False
R326581,Card,David Cruz,"Morgan, Nunez and Butler",hintonjill@garcia.com,445.71,2024-04-12,False,False
R591595,Cheque,James Williams,Salas and Sons,davidbray@hunt-brooks.info,228.52,2024-02-08,False,True
R503001,Cheque,Amber Ramirez,Hurst-Day,laurie44@alvarez.com,296.12,2024-02-23,False,True
R109010,Card,Dr. Michael Singh,Bryan-Moore,paulareed@smith-fuentes.com,388.45,2024-05-11,False,False
R839571,Card,Jason Perez,Jones PLC,robinlambert@woods.org,860.51,2024-09-22,False,True
R206032,Cheque,Daniel Walters,Woods Group,ndixon@williams-shelton.biz,549.47,2024-07-25,False,False
R967044,Card,Patrick Mcbride,Clark Ltd,jeffrey94@anderson.com,619.53,2024-07-14,True,True
R728105,Cheque,Sara Rocha,Hart Ltd,alexandra31@buchanan-rose.org,378.87,2024-01-23,False,False
R281614,Cheque,Mr. Daniel Garcia,Jones-Clarke,johnsonjohn@scott.biz,956.11,2024-06-23,False,True
R408867,Cheque,Adrian Lang,Esparza-Torres,malik69@glass.com,932.79,2024-04-12,False,False
R290381,Card,Eric Jackson,Williams LLC,pstewart@hayes-meyers.info,250.3,2024-02-08,False,False
R890066,Card,Manuel Ramirez,Brewer Ltd,lopezeric@camacho.com,208.56,2024-07-20,False,False
R391903,Card,Katherine Hunt,Cochran PLC,angelachase@reid-harris.net,599.67,2024-07-02,False,False
R752698,Card,Mrs. Robin Obrien,Stevenson Group,frichard@smith-cox.com,611.7,2024-06-27,False,False
R129962,Cheque,Sarah Black,"Williams, Heath and Ross",justin20@wise.com,72.57,2024-08-16,False,False
R755669,Cheque,Tracy Pittman,Tran Group,marylucas@may-lewis.com,559.29,2024-06-14,False,False
R626445,Card,Brian Key,Bauer-Hill,wrobinson@walton-smith.com,303.45,2024-03-21,False,False
R378516,Card,Amy Garcia,Carroll Group,chavezsuzanne@hampton.com,267.54,2024-02-13,False,False
R505615,Cheque,Kevin Lane,"Richardson, Wilson and Stevens",josephrodgers@griffith.com,914.1,2024-05-03,False,False
R917489,Card,Todd Briggs,"Short, Pearson and Jones",gnguyen@dixon.com,67.73,2024-01-20,False,True
R799210,Cheque,James Phillips,Lucero-Wright,christopher13@hall.net,46.82,2024-05-07,False,False
R324345,Card,Destiny Green,Baker-Perry,charlesgrant@williams.com,453.08,2024-07-31,False,False
R333502,Card,Andre Burke,"Parker, Lawson and Ryan",robert68@gregory-reyes.com,821.07,2024-06-06,False,False
R446431,Card,Nancy Jackson,"Raymond, Thompson and Edwards",dlewis@wright.com,287.44,2024-02-29,False,False
R617252,Cheque,Timothy Johnson,"Williams, Santos and Carter",amy75@brown-jackson.net,250.02,2024-04-15,False,False
R911978,Cheque,James Morris,Berry PLC,bhernandez@williams-crawford.com,665.91,2024-03-23,False,False
R820731,Card,Lisa Johnson,Mccullough-Romero,jwatson@davis-dominguez.biz,352.46,2024-03-18,False,False
R849292,Card,Mary Rivas,"Goodman, Rogers and Johnson",smoore@santiago-ortiz.com,979.19,2024-07-30,True,False
R907744,Cheque,Stephanie Olson,"Cohen, Anderson and Garcia",melanie19@hays.com,339.59,2024-03-04,False,False
R365548,Card,William Ruiz,"Mcdaniel, Yates and French",mikewheeler@blackwell.com,396.2,2024-09-25,False,False
R565288,Card,Christopher Garcia,"Mcclure, Raymond and Stewart",hayden04@hall.org,850.2,2024-05-14,False,False
R101287,Cheque,Casey Holmes,Hernandez Ltd,msmith@hoffman.com,398.46,2024-05-11,False,False
R984371,Card,Timothy Rogers,Mueller PLC,barbara57@hudson-parks.info,55.77,2024-02-09,False,True
R565865,Card,Matthew Smith,"Bridges, Lopez and Hood",jessicalawson@gray-santiago.net,288.45,2024-04-27,False,False
R569556,Cheque,Sarah Oliver,Spencer Inc,oscarochoa@jones-palmer.org,23.3,2024-06-01,False,False
R131431,Cheque,Ashley Roman,Jackson Inc,welchwilliam@johnson.com,813.68,2024-08-29,False,False
R339504,Card,Jennifer Garner,"Long, Garcia and Herman",pperkins@sullivan.com,571.64,2024-09-05,False,False
R864209,Card,Ashley Jackson,Fleming Group,charris@castaneda-ferguson.com,716.29,2024-07-31,False,False
R553416,Cheque,Lauren Perry,Newton-Nguyen,hernandezjohn@henry.com,54.21,2024-06-02,False,False
R383269,Card,Mark Garcia,Jimenez-Miller,shane23@le.com,945.67,2024-06-25,False,False
R122355,Cheque,David Aguilar,Davis-Jackson,fcook@wilson.com,728.28,2024-01-09,False,False
R907263,Cheque,John Macdonald,Wang Inc,dfowler@house.com,926.91,2024-04-24,False,False
R82578,Card,Nicole Bridges,"Young, Rhodes and Hernandez",zfarmer@walker-rivera.com,341.78,2024-03-31,True,False
R5225,Card,James Gonzales,"Aguilar, Rice and Freeman",david21@simmons.com,414.36,2024-07-20,False,False
R681599,Cheque,James Nelson,Estes-Lee,nicole95@terry-duncan.com,687.83,2024-01-04,True,True
R545296,Cheque,Scott Garner,Chavez Ltd,kathy68@jackson-ramos.com,230.17,2024-01-20,False,False
R4261,Card,Timothy Barnes,Bailey-Ross,patricia91@tucker.com,972.19,2024-03-19,False,True
R825909,Card,Carlos Turner,"Brown, Alexander and Barry",fsims@flores.com,556.57,2024-02-17,False,False
R395283,Cheque,Thomas Hudson,Harper Ltd,swatts@johnson.info,338.17,2024-03-16,False,False
R960282,Card,Tiffany French,"Roman, Rivera and Sims",myerskimberly@stewart-cooper.org,917.44,2024-02-16,True,False
R779044,Card,Amanda Powers,Brewer-Rasmussen,angela15@beasley-chandler.info,460.34,2024-03-14,False,False
R162089,Cheque,Scott Mclean,"Huynh, Cox and Weaver",jacquelinealexander@beck.com,929.03,2024-01-21,False,False
R29363,Cheque,Logan Carlson,Collins-Small,ellispaul@saunders.org,824.04,2024-04-19,False,False
R527348,Cheque,Andrea Owen,Russell-Booth,david87@ray.com,836.85,2024-05-15,False,False
R782446,Card,David Brown,"Small, Kelly and Coleman",qfischer@mclean-jones.com,22.83,2024-07-19,False,False
R847506,Cheque,Kevin Logan,Morrison and Sons,davidrodriguez@carter.com,794.93,2024-06-18,False,False
R166836,Cheque,Melinda Holden,"Smith, Hunt and Richards",nealbrett@perez.com,812.31,2024-05-06,False,False
R532595,Cheque,Robert Gay,Sanchez Inc,jsexton@walker.info,513.24,2024-04-02,False,False
R595122,Cheque,Logan Williams,Rodriguez Ltd,ehuffman@robinson.com,865.82,2024-08-24,False,True
R606339,Card,William Chambers PhD,Davidson-Stewart,blackalex@allen.com,561.18,2024-02-25,False,False
R215065,Card,Ronnie Black,Anthony PLC,davidjones@kirby.com,451.24,2024-07-12,False,False
R801752,Cheque,Victoria Cowan,Duke-Todd,georgejohnson@gardner.com,672.06,2024-03-11,False,False
R208778,Cheque,Sean Gilbert,Hill Inc,sabrinagregory@lee-coleman.org,826.68,2024-03-13,False,True
R108479,Card,Christopher Davis,Shelton and Sons,megan18@lopez.info,326.99,2024-05-13,False,False
R30510,Card,Victoria Richards,Davies-Jensen,wilsonalex@leonard.com,723.38,2024-03-27,False,False
R219744,Cheque,Mrs. Robin Jenkins MD,Turner-Anderson,amyfreeman@west-chavez.com,787.61,2024-04-28,False,False
R989265,Card,Robert Mcdonald,"Herrera, Robinson and Flores",hcollins@martin.info,356.82,2024-02-18,False,True
R253015,Cheque,Michael Jackson,Fitzpatrick PLC,cruzcharles@cervantes.net,651.62,2024-02-18,True,False
R419963,Card,Zoe Mays,Bradshaw-Davis,courtneyramirez@burton-osborn.biz,980.93,2024-05-23,True,False
R773716,Cheque,Daniel Smith,Wood-Edwards,amanda28@lopez.com,832.43,2024-05-27,False,False
R273346,Card,Sarah Wilson,"Bauer, Duffy and Brooks",mackbobby@mcclure.com,85.76,2024-04-30,False,False
R814008,Cheque,Adam Jones,Reeves LLC,esmith@parker-lopez.com,461.84,2024-02-28,False,True
R842167,Cheque,Anna Hill,"Best, Little and Sullivan",philip10@oliver.biz,600.12,2024-05-17,False,False
R403808,Cheque,John Oliver,Mckee-Lester,ericmiller@castillo-murphy.com,833.45,2024-05-18,False,False
R834187,Card,Michael Coleman,"Wright, Fernandez and James",ajohnson@lewis.com,752.48,2024-02-02,False,False
R396193,Card,Chelsea Hopkins,Keith-Smith,adamrojas@wood.com,973.91,2024-03-05,False,False
R165617,Cheque,Denise Strickland,Scott Inc,mathismindy@brown.com,26.61,2024-09-03,False,False
R675458,Card,Katherine Miller,Delgado LLC,gordondonna@howard-fuentes.biz,892.12,2024-01-15,False,False
R603236,Card,Nicole Gonzalez,Kelley PLC,qsavage@houston.org,417.09,2024-05-03,False,False
R493261,Cheque,Shelly Stewart,Merritt-Brown,rebecca37@hernandez.com,19.79,2024-03-16,False,False
R23756,Card,Kaitlyn Harris,Perkins Inc,manndonald@zimmerman.com,525.59,2024-06-21,False,False
R340775,Card,Carol Stevens,Davis-Davis,qgoodwin@serrano-anderson.com,338.07,2024-02-02,False,False
R546561,Cheque,Stephanie Estrada,"Underwood, Mitchell and Davis",annaesparza@morris.com,633.3,2024-03-02,False,False
R39251,Card,Virginia Berry,"Carpenter, Dalton and Cohen",christine22@gardner.org,99.79,2024-08-25,False,True
R761178,Card,Jordan Smith,Gilbert-Thompson,ysalas@kemp.com,198.99,2024-03-01,False,True
R504729,Card,Joshua Reed,Brandt-Roberts,kimberly36@russell.com,629.61,2024-08-24,False,False
R660889,Cheque,Ashley Johnson,Moses-Larsen,adixon@hill.net,229.66,2024-06-07,True,False
R304841,Card,Matthew Lambert,Alvarado-Bolton,garciakaren@boyd.com,637.68,2024-03-04,False,False
R554306,Card,Brittany Montes,Nguyen-Burns,aburton@sutton.com,68.4,2024-04-12,False,True
R982700,Card,Andrea Roth,Miller Group,rogersmisty@west-mullins.info,516.22,2024-01-02,True,True
R499321,Card,Cameron Bass,Armstrong and Sons,emilyadams@hale-weeks.com,272.47,2024-09-09,False,False
R486914,Card,Eric Nelson,Bond and Sons,terrinorman@porter.com,97.4,2024-04-04,False,False
R805645,Card,Christopher Clayton,Blake and Sons,qhunter@perry.com,641.23,2024-06-17,False,False
R316433,Cheque,Lori Martinez,Cummings-Miller,thompsonchris@george.org,397.34,2024-07-21,True,False
R259720,Cheque,Richard Mann,"Martinez, Williams and Miller",bspencer@torres.com,882.15,2024-02-01,False,False
R344050,Card,James Bernard,"Williams, Evans and Kramer",david17@cole.com,573.63,2024-07-10,False,False
R714240,Card,Kristin Church,Hartman Inc,gonzalezeric@chambers.com,495.33,2024-02-27,False,False
R241521,Cheque,John Long,Costa-Maldonado,cohendestiny@ford-james.com,100.82,2024-06-16,False,False
R721334,Card,Cody Clark,"Bowers, Roberts and Briggs",williamsjoseph@maddox-howell.info,292.97,2024-07-02,False,False
R506892,Card,Nicole Lane,Fuller PLC,vhernandez@cook.biz,852.0,2024-02-01,False,False
R542263,Card,Christine Lee,Barnett-Jones,diana43@pena.net,604.45,2024-08-09,False,False
R101403,Card,Richard Jarvis,Thomas PLC,randerson@cruz.net,401.78,2024-03-15,False,False
R981101,Cheque,Karen Mccoy,Valentine Group,wallacepaul@wilson-horne.com,404.38,2024-04-05,True,True
R555145,Card,Taylor Yates,"Johnson, Franco and Conley",bushamy@baker.com,420.38,2024-09-29,True,False
R215605,Cheque,Gregory Gibson,"Spears, Perez and Hines",ambergarcia@roach.com,263.53,2024-05-06,True,True
R375541,Cheque,Jeremy Stokes,Franco-Murray,wsolis@knight-green.com,177.59,2024-06-16,False,False
R586171,Cheque,Jessica Martinez,Davis-Sullivan,deborah60@barton.biz,417.73,2024-03-06,True,False
R121944,Card,Jeffrey Carlson,"Reynolds, Harrison and Morales",michele01@murray-beasley.com,712.24,2024-06-10,False,False
R91851,Cheque,Mrs. Nichole Reid MD,Vega Group,ssmith@smith.com,748.71,2024-01-11,False,False
R300932,Cheque,Maria Adams,Brown Inc,kcortez@king.com,490.26,2024-01-24,False,False
R528656,Card,Mathew Johnson,Contreras-Erickson,darrenjohnson@coleman.info,312.71,2024-07-19,False,True
R56200,Card,Shane Schmidt,Carter-Campos,nboone@stevens-shaw.com,955.99,2024-06-27,False,False
R598413,Cheque,Lauren Ayala,Harris and Sons,davisedward@cortez.com,602.94,2024-09-15,False,False
R313775,Card,Jordan Lambert,Mcintosh LLC,andrew21@russo.com,161.05,2024-07-17,False,False
R370845,Cheque,Brian Williams,Adams-James,robin82@copeland-joseph.com,11.2,2024-06-02,False,False
R822719,Cheque,Veronica Page,Gay-Armstrong,jaredjones@thompson.com,317.04,2024-08-26,False,False
R475237,Card,Monica Baker DDS,Tanner and Sons,davidwatkins@gomez-wood.com,277.97,2024-02-12,False,False
R978094,Card,Manuel Lynn,Barrett and Sons,ucruz@thompson.com,478.82,2024-05-11,False,False
R517913,Cheque,Mark Orozco,"Donaldson, Erickson and Brown",adam85@alvarez.net,819.0,2024-04-02,False,False
R964698,Card,Lisa Mendoza,Spencer and Sons,frank08@thomas-hudson.biz,222.34,2024-08-20,False,True
R345829,Cheque,Douglas Garcia,"Knox, Daniels and Cabrera",jonesmichael@sanders-west.com,311.29,2024-01-01,False,False
R293073,Cheque,Melinda Lawrence,Thomas-Martin,shannon19@johnson.com,525.4,2024-07-22,False,False
R462062,Cheque,Daniel Sanchez,"Burgess, Clarke and Peterson",jasonbonilla@swanson.com,496.62,2024-03-07,False,False
R754079,Card,Yvonne May,Johnston Group,kennethwalker@allen.com,433.87,2024-05-13,True,False
R369856,Cheque,Lindsey Ayala,Mckee-Smith,barronhenry@hernandez.com,189.43,2024-01-31,False,False
R994569,Cheque,Christopher Blackburn,Guzman and Sons,uhayes@peters.com,138.09,2024-01-31,False,True
R953711,Card,Edward Parker,"Gutierrez, Patel and Gates",albertcrane@hale-hayes.com,810.77,2024-01-13,False,False
R436515,Card,John Silva,"Gray, Robinson and Gentry",smithevan@simmons.com,909.41,2024-03-22,False,False
R125488,Card,Lisa Davis,Smith PLC,jessica78@silva.com,863.26,2024-01-25,False,True
R622383,Card,Alexander Jones,Hayes PLC,sarahrobinson@irwin.net,222.87,2024-08-30,True,False
R8328,Cheque,Michelle Gonzalez,Berry-Sanders,ataylor@powell.net,140.25,2024-09-05,False,False
R37809,Card,Franklin Barnett,"Holmes, Martinez and Malone",cindy57@rodriguez.com,957.6,2024-08-09,False,False
R432281,Card,Daniel Peterson,"Alexander, Chang and Olson",spencergabriel@jenkins-fields.com,731.06,2024-06-13,False,False
R529210,Cheque,Rachel Jacobs,Cardenas Ltd,clee@munoz-hale.com,983.5,2024-07-15,False,False
R161503,Cheque,Laura Carroll,"Vasquez, Lucero and Briggs",williamclark@cox.com,534.57,2024-06-25,False,False
R107346,Cheque,Lee Green,Norris Inc,cynthia12@wells-humphrey.com,488.68,2024-03-03,False,False
R478851,Card,Kelly Reese,Phillips-Black,richard23@vasquez.com,272.59,2024-05-07,False,False
R56972,Cheque,Thomas Ramirez,Sanchez and Sons,qhill@torres.com,758.38,2024-01-15,False,False
R298811,Card,Brent Dougherty,Young Inc,qcarter@miller-gay.biz,165.94,2024-06-10,False,False
R685758,Cheque,Cynthia Harris,"Bowen, Mcdonald and Howard",brandon12@vaughn-martin.com,687.16,2024-09-28,False,True
R844493,Cheque,Jonathan Baker,"Clark, Castro and Vasquez",allenchristine@schroeder.org,350.34,2024-04-23,False,False
R453618,Card,Michael Jennings,Taylor and Sons,robin21@chapman.org,875.68,2024-08-15,False,True
R631190,Cheque,Shannon Freeman,"Thomas, Robbins and Stone",amandakelley@cunningham-welch.com,239.33,2024-07-26,False,False
R596844,Card,Kimberly Richardson,"Robertson, Cruz and Grimes",ibarron@white.net,223.09,2024-08-30,False,False
R726353,Card,Jacob Robinson,"Kim, Fitzpatrick and Wallace",smueller@irwin.com,48.37,2024-03-14,False,True
R459250,Card,Nathan Bell,Gordon PLC,aaron05@estrada-evans.com,827.81,2024-05-19,True,True
R865065,Cheque,Stacey Johnson,"Roberts, Hernandez and Schmidt",laurenyates@harrison.com,435.22,2024-05-09,False,False
R201830,Cheque,Marissa Ramirez,Ayala-Welch,douglas84@olson-hatfield.com,760.59,2024-06-26,False,False
R600295,Card,Lisa Dixon,Knox Ltd,xgriffin@oliver.com,395.35,2024-08-26,False,False
R50635,Card,Austin Arnold,Wilson-Price,jenny65@clark.com,556.71,2024-01-11,False,False
R501258,Cheque,Stephen Schmidt,Hernandez and Sons,dianegreen@meyer.com,455.42,2024-02-22,True,True
R988585,Card,Kristin Camacho,Barton Group,oholt@smith.net,236.93,2024-09-23,False,False
R19413,Card,Gary Sandoval,Bryant-Wood,gspencer@freeman.net,569.39,2024-05-10,False,False
R996647,Cheque,Darren Martin,Steele Ltd,lisaolson@huff.biz,791.33,2024-08-14,False,False
R344512,Cheque,James Everett,Cooper-Gibbs,kimberly65@sherman-leach.com,433.79,2024-03-29,False,False
R863292,Cheque,Joseph Smith,Bailey-Chen,leeellis@walker.net,23.95,2024-03-13,False,True
R174672,Card,Megan Thornton,Jenkins Ltd,chapmannatalie@johnston.com,270.0,2024-01-21,False,False
R442072,Card,Jason Murphy,Sanders-Harrington,patrickwalker@macdonald.com,975.81,2024-01-10,False,False
R111326,Cheque,Michael Wagner,Pham Ltd,vsmith@lopez.biz,784.56,2024-06-16,False,False
R738349,Cheque,Antonio Garcia,Reed Ltd,keydesiree@ross-wells.com,842.24,2024-03-15,False,False
R762342,Card,Benjamin Carroll,Hall-Ray,toddsmith@rojas.com,845.48,2024-05-05,False,True
R336042,Card,Melissa Spencer,"Archer, Schroeder and Taylor",melissa54@murillo.biz,239.49,2024-03-16,False,True
R466152,Cheque,Amy Snyder,Hall-Singleton,ochoajennifer@moore.com,926.08,2024-07-09,False,False
R412988,Card,Jackie Walker,"Anderson, James and Suarez",rebeccabarnes@robinson.com,882.59,2024-03-04,False,False
R702242,Cheque,Linda Boyd,"Carlson, Christian and Burch",robin44@jackson.com,650.76,2024-01-13,False,False
R508438,Cheque,Catherine Barnes,Richardson-Woods,davidmay@west.com,592.39,2024-05-28,False,False
R859306,Cheque,Brent Andrews,Santiago Inc,aaron38@wallace.com,994.34,2024-03-25,False,False
R426433,Card,Valerie Bailey,Moore and Sons,kevin93@bartlett.com,344.67,2024-09-15,False,True
R622460,Card,Ronald Stevens,Watkins-Bonilla,morrisonjessica@fisher.com,92.86,2024-01-28,False,False
R107504,Card,Kiara Graham,"Gross, Stephenson and Lewis",scooper@miller.net,193.19,2024-08-19,False,False
R576613,Card,Sandra Lawson,Ruiz PLC,cassandra56@martinez.biz,113.46,2024-03-20,False,False
R329514,Card,Eric Short,Hudson-Shields,williamslinda@richardson.biz,63.83,2024-08-08,False,False
R538028,Cheque,Susan Stewart,Rogers and Sons,roseelizabeth@barnes.com,899.61,2024-05-13,False,False
R252806,Cheque,Julie Miller,Hall-Ramsey,gmorris@wilson-higgins.org,917.18,2024-06-14,False,False
